ID	ALIGNMENT	COGIDS	COGNACY	CONCEPT	CONCEPTICON	DOCULECT	FORM	GLOTTOLOG	LANGUAGE_NAME	LATITUDE	LONGITUDE	PARAMETER_ID	TOKENS	VALUE	NOTE	COGID	MORPHEMES
399	p - ɨː -	631	None	fly	1504	MangBang	pɨː	ruma1248	Mang Bang	24.416392	98.399078	25_fly	p ɨː	pɨː			
400	p - ɨː -	631	None	fly	1504	NanSang	pɨː	ruma1248	Nan Sang	24.019728	97.819736	25_fly	p ɨː	pɨː			
401	k - a - + d a m + ɓ e ʔ	461 462 459	None	egg	744	NamHsan	kadam ɓeɁ	None	Namhsan	22.965064	97.163239	26_egg	k a + d a m + ɓ e ʔ	kadam ɓeɁ			
402	k - a - + ɗ a m	1027 462	None	egg	744	KhunHawt	kaɗam	None	Khun Hawt	22.965064	97.163239	26_egg	k a + ɗ a m	kaɗam			_-:sufix/ka ?
403	k - a - + ɗ a m	1027 462	None	egg	744	HtanHsan	kaɗam	None	Htan Hsan	22.675133	97.289942	26_egg	k a + ɗ a m	kaɗam			_-:suffix/ka ?
404	g l au̯	461	None	egg	744	PangKham	ɡlaw	None	Pangkham	22.672097	97.161167	26_egg	g l au̯	ɡlaw			
405	k l au̯ + kʰ ai̯	463 461	None	egg	744	ManLoi	klaw khaj	None	Man Loi	22.636019	97.139264	26_egg	k l au̯ + kʰ ai̯	klaw khaj			
406	g l ɛːu̯	461	None	egg	744	MengDan	ɡlɛːw	khan1274	Meng Dan	24.296522	98.379886	26_egg	g l ɛːu̯	ɡlɛːw			
407	g r aːu̯ + ʔ i/j a r	461 460	None	egg	744	ChuDongGua	ɡraːw ʔiar	None	Chu Dong Gua	24.330889	98.393125	26_egg	g r aːu̯ + ʔ i/j a r	ɡraːw ʔiar			
408	p əː n	459	None	egg	744	XiangZhaiTang	pəːn	ruma1248	Xiang Zhai Tang	24.323819	98.556639	26_egg	p əː n	pəːn			
409	p əa n	459	None	egg	744	PongNuea	pəan	None	Pong Nuea	20.321525	99.866817	26_egg	p əa n	pəan			
410	p ə n + ʔ i/j a n	459 460	None	egg	744	NyaungGone	pən ʔian	None	Nyaung Gone	20.635025	96.545772	26_egg	p ə n + ʔ i/j a n	pən ʔian			
411	p ə n + ʔ i/j a n	459 460	None	egg	744	NoeLae	pən Ɂian	None	Noe Lae	19.941803	99.044742	26_egg	p ə n + ʔ i/j a n	pən Ɂian			
412	p ə n + ʔ i/j a n	459 460	None	egg	744	BanPaw	pən Ɂian	None	Ban Paw	21.311225	99.557550	26_egg	p ə n + ʔ i/j a n	pən Ɂian			
413	b əː n	459	None	egg	744	ChaYeQing	bəːn	None	Cha Ye Qing	24.305717	98.463661	26_egg	b əː n	bəːn			
414	b əː n	459	None	egg	744	GuangKa	bəːn	ruma1248	Guang Ka	24.065714	97.796281	26_egg	b əː n	bəːn			
415	b əː n	459	None	egg	744	MangBang	bəːn	ruma1248	Mang Bang	24.416392	98.399078	26_egg	b əː n	bəːn			
416	b əː n	459	None	egg	744	NanSang	bəːn	ruma1248	Nan Sang	24.019728	97.819736	26_egg	b əː n	bəːn			
417	k aː	594	None	fish	227	NamHsan	kaː	None	Namhsan	22.965064	97.163239	27_fish	k aː	kaː			
418	k aː	594	None	fish	227	KhunHawt	kaː	None	Khun Hawt	22.965064	97.163239	27_fish	k aː	kaː			
419	k aː	594	None	fish	227	HtanHsan	kaː	None	Htan Hsan	22.675133	97.289942	27_fish	k aː	kaː			
420	g aː	594	None	fish	227	PangKham	ɡaː	None	Pangkham	22.672097	97.161167	27_fish	g aː	ɡaː			
421	g ɛː	594	None	fish	227	ManLoi	ɡɛː	None	Man Loi	22.636019	97.139264	27_fish	g ɛː	ɡɛː			
422	k ɛː	594	None	fish	227	MengDan	kɛː	khan1274	Meng Dan	24.296522	98.379886	27_fish	k ɛː	kɛː			
423	k aː	594	None	fish	227	ChuDongGua	kaː	None	Chu Dong Gua	24.330889	98.393125	27_fish	k aː	kaː			
424	g aː	594	None	fish	227	XiangZhaiTang	ɡaː	ruma1248	Xiang Zhai Tang	24.323819	98.556639	27_fish	g aː	ɡaː			
425	m a + g ɛa	593 594	None	fish	227	PongNuea	maɡɛa	None	Pong Nuea	20.321525	99.866817	27_fish	m a + g ɛa	maɡɛa			
426	m a + g a	593 594	None	fish	227	NyaungGone	maɡa	None	Nyaung Gone	20.635025	96.545772	27_fish	m a + g a	maɡa			
427	m a + g a	593 594	None	fish	227	NoeLae	maɡa	None	Noe Lae	19.941803	99.044742	27_fish	m a + g a	maɡa			
428	m a + g a	1110 594	None	fish	227	BanPaw	maɡa	None	Ban Paw	21.311225	99.557550	27_fish	m a + g a	maɡa			_-prefix/ma ?
429	k aː	594	None	fish	227	ChaYeQing	kaː	None	Cha Ye Qing	24.305717	98.463661	27_fish	k aː	kaː			
430	k aː	594	None	fish	227	GuangKa	kaː	ruma1248	Guang Ka	24.065714	97.796281	27_fish	k aː	kaː			
431	k aː	594	None	fish	227	MangBang	kaː	ruma1248	Mang Bang	24.416392	98.399078	27_fish	k aː	kaː			
432	k aː	594	None	fish	227	NanSang	kaː	ruma1248	Nan Sang	24.019728	97.819736	27_fish	k aː	kaː			
433	h a ɲ	1759	None	snake	730	NamHsan	haɲ	None	Namhsan	22.965064	97.163239	28_snake	h a ɲ	haɲ			
434	h e ɲ	1759	None	snake	730	KhunHawt	heɲ	None	Khun Hawt	22.965064	97.163239	28_snake	h e ɲ	heɲ			
435	h e ɲ	1759	None	snake	730	HtanHsan	heɲ	None	Htan Hsan	22.675133	97.289942	28_snake	h e ɲ	heɲ			
436	h a ɲ	1759	None	snake	730	PangKham	haɲ	None	Pangkham	22.672097	97.161167	28_snake	h a ɲ	haɲ			
437	h a n	1759	None	snake	730	ManLoi	han	None	Man Loi	22.636019	97.139264	28_snake	h a n	han			
438	h ɔ n	1759	None	snake	730	MengDan	hɔn	khan1274	Meng Dan	24.296522	98.379886	28_snake	h ɔ n	hɔn			
439	h ɔ ɲ	1759	None	snake	730	ChuDongGua	hɔɲ	None	Chu Dong Gua	24.330889	98.393125	28_snake	h ɔ ɲ	hɔɲ			
440	h a ɲ	1759	None	snake	730	XiangZhaiTang	haɲ	ruma1248	Xiang Zhai Tang	24.323819	98.556639	28_snake	h a ɲ	haɲ			
441	m a + h a ɲ	1758 1759	None	snake	730	PongNuea	mahaɲ	None	Pong Nuea	20.321525	99.866817	28_snake	m a + h a ɲ	mahaɲ			
442	h a n	1759	None	snake	730	NyaungGone	han	None	Nyaung Gone	20.635025	96.545772	28_snake	h a n	han			
443	m a + h a ɲ	1758 1759	None	snake	730	NoeLae	mahaɲ	None	Noe Lae	19.941803	99.044742	28_snake	m a + h a ɲ	mahaɲ			
444	m a + h ă ɲ	1110 1759	None	snake	730	BanPaw	mahăɲ	None	Ban Paw	21.311225	99.557550	28_snake	m a + h ă ɲ	mahăɲ			_-prefix/ma ?
445	h a n	1759	None	snake	730	ChaYeQing	han	None	Cha Ye Qing	24.305717	98.463661	28_snake	h a n	han			
446	h a n	1759	None	snake	730	GuangKa	han	ruma1248	Guang Ka	24.065714	97.796281	28_snake	h a n	han			
447	h a n	1759	None	snake	730	MangBang	han	ruma1248	Mang Bang	24.416392	98.399078	28_snake	h a n	han			
448	h a n	1759	None	snake	730	NanSang	han	ruma1248	Nan Sang	24.019728	97.819736	28_snake	h a n	han			
449	s iː -	1111	None	louse	1392	NamHsan	siː	None	Namhsan	22.965064	97.163239	29_louse	s iː	siː			
450	s iː -	1111	None	louse	1392	KhunHawt	siː	None	Khun Hawt	22.965064	97.163239	29_louse	s iː	siː			
451	s ei̯ -	1111	None	louse	1392	HtanHsan	sej	None	Htan Hsan	22.675133	97.289942	29_louse	s ei̯	sej			
452	s ai̯ -	1111	None	louse	1392	PangKham	saj	None	Pangkham	22.672097	97.161167	29_louse	s ai̯	saj			
453	s ai̯ -	1111	None	louse	1392	ManLoi	saj	None	Man Loi	22.636019	97.139264	29_louse	s ai̯	saj			
454	k ə + b r a n	1112 1113	None	louse	1392	MengDan	kəbran	khan1274	Meng Dan	24.296522	98.379886	29_louse	k ə + b r a n	kəbran			
455	s aːi̯	1111	None	louse	1392	ChuDongGua	saːj	None	Chu Dong Gua	24.330889	98.393125	29_louse	s aːi̯	saːj			
456	m a + s ɛː -	1110 1111	None	louse	1392	XiangZhaiTang	masɛː	ruma1248	Xiang Zhai Tang	24.323819	98.556639	29_louse	m a + s ɛː	masɛː			
457	m a + s ɛː -	1110 1111	None	louse	1392	PongNuea	masɛː	None	Pong Nuea	20.321525	99.866817	29_louse	m a + s ɛː	masɛː			
458	m a + s ɛ -	1110 1111	None	louse	1392	NyaungGone	masɛ	None	Nyaung Gone	20.635025	96.545772	29_louse	m a + s ɛ	masɛ			
459	m a + s ɛ -	1110 1111	None	louse	1392	NoeLae	masɛ	None	Noe Lae	19.941803	99.044742	29_louse	m a + s ɛ	masɛ			
460	m a + s ɛ -	1110 1111	None	louse	1392	BanPaw	masɛ	None	Ban Paw	21.311225	99.557550	29_louse	m a + s ɛ	masɛ			_-prefix/ma ?
461	m a + s ai̯ -	1110 1111	None	louse	1392	ChaYeQing	masaj	None	Cha Ye Qing	24.305717	98.463661	29_louse	m a + s ai̯	masaj			
462	s ai̯ -	1111	None	louse	1392	GuangKa	saj	ruma1248	Guang Ka	24.065714	97.796281	29_louse	s ai̯	saj			
463	s ai̯ -	1111	None	louse	1392	MangBang	saj	ruma1248	Mang Bang	24.416392	98.399078	29_louse	s ai̯	saj			
464	s ai̯ ʔ	1111	None	louse	1392	NanSang	saiɁ	ruma1248	Nan Sang	24.019728	97.819736	29_louse	s ai̯ ʔ	saiɁ			
465	k i ŋ	805	None	head	1256	NamHsan	kiŋ	None	Namhsan	22.965064	97.163239	30_head	k i ŋ	kiŋ			
466	k e ɲ	805	None	head	1256	KhunHawt	keɲ	None	Khun Hawt	22.965064	97.163239	30_head	k e ɲ	keɲ			head
467	k i ɲ	805	None	head	1256	HtanHsan	kiɲ	None	Htan Hsan	22.675133	97.289942	30_head	k i ɲ	kiɲ			head
468	g i ɲ	805	None	head	1256	PangKham	ɡiɲ	None	Pangkham	22.672097	97.161167	30_head	g i ɲ	ɡiɲ			
469	g i ŋ	805	None	head	1256	ManLoi	ɡiŋ	None	Man Loi	22.636019	97.139264	30_head	g i ŋ	ɡiŋ			
470	k i ŋ	805	None	head	1256	MengDan	kiŋ	khan1274	Meng Dan	24.296522	98.379886	30_head	k i ŋ	kiŋ			
471	g i ŋ	805	None	head	1256	ChuDongGua	ɡiŋ	None	Chu Dong Gua	24.330889	98.393125	30_head	g i ŋ	ɡiŋ			
472	g i ɲ	805	None	head	1256	XiangZhaiTang	ɡiɲ	ruma1248	Xiang Zhai Tang	24.323819	98.556639	30_head	g i ɲ	ɡiɲ			
473	g i ɲ	805	None	head	1256	PongNuea	ɡiɲ	None	Pong Nuea	20.321525	99.866817	30_head	g i ɲ	ɡiɲ			
474	g ɨ n	805	None	head	1256	NyaungGone	ɡɨn	None	Nyaung Gone	20.635025	96.545772	30_head	g ɨ n	ɡɨn			
475	g i ɲ	805	None	head	1256	NoeLae	ɡiɲ	None	Noe Lae	19.941803	99.044742	30_head	g i ɲ	ɡiɲ			
476	g ɨ ɲ	805	None	head	1256	BanPaw	ɡɨɲ	None	Ban Paw	21.311225	99.557550	30_head	g ɨ ɲ	ɡɨɲ			
477	k e n	757	None	head	1256	ChaYeQing	ken	None	Cha Ye Qing	24.305717	98.463661	30_head	k e n	ken			head
478	k e n	805	None	head	1256	GuangKa	ken	ruma1248	Guang Ka	24.065714	97.796281	30_head	k e n	ken			head
479	k ə n	805	None	head	1256	MangBang	kən	ruma1248	Mang Bang	24.416392	98.399078	30_head	k ə n	kən			
480	k ə n	805	None	head	1256	NanSang	kən	ruma1248	Nan Sang	24.019728	97.819736	30_head	k ə n	kən			
481	h u ʔ + k i ŋ	756 757	None	hair	1040	NamHsan	huɁkiŋ	None	Namhsan	22.965064	97.163239	31_hair	h u ʔ + k i ŋ	huɁkiŋ			
482	h ou̯ ʔ + k e ɲ	756 805	None	hair	1040	KhunHawt	houɁ keɲ	None	Khun Hawt	22.965064	97.163239	31_hair	h ou̯ ʔ + k e ɲ	houɁ keɲ			 head
483	h ou̯ ʔ + k i ɲ	756 805	None	hair	1040	HtanHsan	houɁ kiɲ	None	Htan Hsan	22.675133	97.289942	31_hair	h ou̯ ʔ + k i ɲ	houɁ kiɲ			 head
484	h ɨ k + g i ɲ	756 757	None	hair	1040	PangKham	hɨk ɡiɲ	None	Pangkham	22.672097	97.161167	31_hair	h ɨ k + g i ɲ	hɨk ɡiɲ			
485	h u k + g i ŋ	756 757	None	hair	1040	ManLoi	huk ɡiŋ	None	Man Loi	22.636019	97.139264	31_hair	h u k + g i ŋ	huk ɡiŋ			
486	h u ʔ + k i ŋ	756 757	None	hair	1040	MengDan	huʔ kiŋ	khan1274	Meng Dan	24.296522	98.379886	31_hair	h u ʔ + k i ŋ	huʔ kiŋ			
487	h u ʔ + k i ŋ	756 757	None	hair	1040	ChuDongGua	huʔ kiŋ	None	Chu Dong Gua	24.330889	98.393125	31_hair	h u ʔ + k i ŋ	huʔ kiŋ			
488	h uːi̯	756	None	hair	1040	XiangZhaiTang	huːj	ruma1248	Xiang Zhai Tang	24.323819	98.556639	31_hair	h uːi̯	huːj			
489	h ɨ k + g i ɲ	756 757	None	hair	1040	PongNuea	hɨk ɡiɲ	None	Pong Nuea	20.321525	99.866817	31_hair	h ɨ k + g i ɲ	hɨk ɡiɲ			
490	h ɨ k + g ɨ n	756 757	None	hair	1040	NyaungGone	hɨk ɡɨn	None	Nyaung Gone	20.635025	96.545772	31_hair	h ɨ k + g ɨ n	hɨk ɡɨn			
491	h ɨ k + g i ɲ	756 757	None	hair	1040	NoeLae	hɨk ɡiɲ	None	Noe Lae	19.941803	99.044742	31_hair	h ɨ k + g i ɲ	hɨk ɡiɲ			
492	h ɨ k + g ɨ ɲ	756 757	None	hair	1040	BanPaw	hɨk ɡɨɲ	None	Ban Paw	21.311225	99.557550	31_hair	h ɨ k + g ɨ ɲ	hɨk ɡɨɲ			
493	h ɨ k + k e n	756 757	None	hair	1040	ChaYeQing	hɨk ken	None	Cha Ye Qing	24.305717	98.463661	31_hair	h ɨ k + k e n	hɨk ken			 head
494	h ɨ k + k e n	756 805	None	hair	1040	GuangKa	hɨk ken	ruma1248	Guang Ka	24.065714	97.796281	31_hair	h ɨ k + k e n	hɨk ken			 head
495	h ɨ k + k ə n	756 757	None	hair	1040	MangBang	hɨkkən	ruma1248	Mang Bang	24.416392	98.399078	31_hair	h ɨ k + k ə n	hɨkkən			
496	h ɨ k + k ə n	756 757	None	hair	1040	NanSang	hɨkkən	ruma1248	Nan Sang	24.019728	97.819736	31_hair	h ɨ k + k ə n	hɨkkən			
497	ŋ aːi̯	485	None	eye	1248	NamHsan	ŋaːj	None	Namhsan	22.965064	97.163239	32_eye	ŋ aːi̯	ŋaːj			
498	ŋ aːi̯	418	None	eye	1248	KhunHawt	ŋaːj	None	Khun Hawt	22.965064	97.163239	32_eye	ŋ aːi̯	ŋaːj			eye
499	ŋ aːi̯	485	None	eye	1248	HtanHsan	ŋaːj	None	Htan Hsan	22.675133	97.289942	32_eye	ŋ aːi̯	ŋaːj			
500	b l eː + ŋ aːi̯	486 485	None	eye	1248	PangKham	bleː ŋaːj	None	Pangkham	22.672097	97.161167	32_eye	b l eː + ŋ aːi̯	bleː ŋaːj			
501	b l eː + ŋ aːi̯	486 485	None	eye	1248	ManLoi	bleː ŋaːj	None	Man Loi	22.636019	97.139264	32_eye	b l eː + ŋ aːi̯	bleː ŋaːj			
502	ŋ aːi̯	485	None	eye	1248	MengDan	ŋaːj	khan1274	Meng Dan	24.296522	98.379886	32_eye	ŋ aːi̯	ŋaːj			
503	ŋ aːi̯	485	None	eye	1248	ChuDongGua	ŋaːj	None	Chu Dong Gua	24.330889	98.393125	32_eye	ŋ aːi̯	ŋaːj			
504	ŋ aːi̯	485	None	eye	1248	XiangZhaiTang	ŋaːj	ruma1248	Xiang Zhai Tang	24.323819	98.556639	32_eye	ŋ aːi̯	ŋaːj			
505	ŋ aːi̯	485	None	eye	1248	PongNuea	ŋaːj	None	Pong Nuea	20.321525	99.866817	32_eye	ŋ aːi̯	ŋaːj			
506	ŋ ai̯ -	485	None	eye	1248	NyaungGone	ŋaj	None	Nyaung Gone	20.635025	96.545772	32_eye	ŋ ai̯	ŋaj			
507	ŋ ai̯ -	485	None	eye	1248	NoeLae	ŋaj	None	Noe Lae	19.941803	99.044742	32_eye	ŋ ai̯	ŋaj			
508	ŋ ai̯ -	485	None	eye	1248	BanPaw	ŋaj	None	Ban Paw	21.311225	99.557550	32_eye	ŋ ai̯	ŋaj			
509	ŋ aːi̯	485	None	eye	1248	ChaYeQing	ŋaːj	None	Cha Ye Qing	24.305717	98.463661	32_eye	ŋ aːi̯	ŋaːj			
510	ŋ aːi̯	485	None	eye	1248	GuangKa	ŋaːj	ruma1248	Guang Ka	24.065714	97.796281	32_eye	ŋ aːi̯	ŋaːj			
511	ŋ aːi̯	485	None	eye	1248	MangBang	ŋaːj	ruma1248	Mang Bang	24.416392	98.399078	32_eye	ŋ aːi̯	ŋaːj			
512	ŋ aːi̯	485	None	eye	1248	NanSang	ŋaːj	ruma1248	Nan Sang	24.019728	97.819736	32_eye	ŋ aːi̯	ŋaːj			
513	k ɔ ŋ + m u - h	1355 1356	None	nose	1221	NamHsan	kɔŋmuh	None	Namhsan	22.965064	97.163239	33_nose	k ɔ ŋ + m u h	kɔŋmuh			
514	k ɔ ŋ + m u r̥ -	1355 1201	None	nose	1221	KhunHawt	kɔŋmur̥	None	Khun Hawt	22.965064	97.163239	33_nose	k ɔ ŋ + m u r̥	kɔŋmur̥			 mouth
515	k ɔ ŋ + m u - h	1355 1356	None	nose	1221	HtanHsan	kɔŋmuh	None	Htan Hsan	22.675133	97.289942	33_nose	k ɔ ŋ + m u h	kɔŋmuh			
516	g ɔ ŋ + m u - h	1355 1356	None	nose	1221	PangKham	ɡɔŋmuh	None	Pangkham	22.672097	97.161167	33_nose	g ɔ ŋ + m u h	ɡɔŋmuh			
517	g ɔ ŋ + m u - h	1355 1356	None	nose	1221	ManLoi	ɡɔŋmuh	None	Man Loi	22.636019	97.139264	33_nose	g ɔ ŋ + m u h	ɡɔŋmuh			
518	ʔ a + m ui̯ h	1358 1356	None	nose	1221	MengDan	ʔamujh	khan1274	Meng Dan	24.296522	98.379886	33_nose	ʔ a + m ui̯ h	ʔamujh			
519	m ui̯ h	1356	None	nose	1221	ChuDongGua	mujh	None	Chu Dong Gua	24.330889	98.393125	33_nose	m ui̯ h	mujh			
520	g u ŋ + m u - h	1355 1356	None	nose	1221	XiangZhaiTang	ɡuŋmuh	ruma1248	Xiang Zhai Tang	24.323819	98.556639	33_nose	g u ŋ + m u h	ɡuŋmuh			
521	g u ŋ + m u - h	1355 1356	None	nose	1221	PongNuea	ɡuŋmuh	None	Pong Nuea	20.321525	99.866817	33_nose	g u ŋ + m u h	ɡuŋmuh			
522	g u - + m u - h	1355 1356	None	nose	1221	NyaungGone	ɡumuh	None	Nyaung Gone	20.635025	96.545772	33_nose	g u + m u h	ɡumuh			
523	g o ŋ + m u - h	1355 1356	None	nose	1221	NoeLae	ɡoŋmuh	None	Noe Lae	19.941803	99.044742	33_nose	g o ŋ + m u h	ɡoŋmuh			
524	g u ŋ + m u - h	1355 1356	None	nose	1221	BanPaw	ɡuŋmuh	None	Ban Paw	21.311225	99.557550	33_nose	g u ŋ + m u h	ɡuŋmuh			
525	k a - + d o ŋ + m u - h	1062 1093 1356	None	nose	1221	ChaYeQing	kadoŋmuh	None	Cha Ye Qing	24.305717	98.463661	33_nose	k a + d o ŋ + m u h	kadoŋmuh			_-:prefix/ka long ?
526	k a - + d u ŋ + m u - h	1062 1357 1356	None	nose	1221	GuangKa	kaduŋ muh	ruma1248	Guang Ka	24.065714	97.796281	33_nose	k a + d u ŋ + m u h	kaduŋ muh			_-:suffix/ka ? ?
527	k a - + d ɔ ŋ + m u - h	1355 1357 1356	None	nose	1221	MangBang	kadɔŋ muh	ruma1248	Mang Bang	24.416392	98.399078	33_nose	k a + d ɔ ŋ + m u h	kadɔŋ muh			
528	k a - + d u ŋ + m u - h	1355 1357 1356	None	nose	1221	NanSang	kaduŋmuh	ruma1248	Nan Sang	24.019728	97.819736	33_nose	k a + d u ŋ + m u h	kaduŋmuh			
529	l a j + ʨʰ ɔː - - ʔ	387 386	None	ear	1247	NamHsan	lajʨhɔːɁ	None	Namhsan	22.965064	97.163239	34_ear	l a j + ʨʰ ɔː ʔ	lajʨhɔːɁ			
530	r a - + l a ŋ	387 389	None	ear	1247	KhunHawt	ralaŋ	None	Khun Hawt	22.965064	97.163239	34_ear	r a + l a ŋ	ralaŋ			
531	l a - + l a ŋ	387 388	None	ear	1247	HtanHsan	lalaŋ	None	Htan Hsan	22.675133	97.289942	34_ear	l a + l a ŋ	lalaŋ			
532	j̊ o - - k	386	None	ear	1247	PangKham	j̊ok	None	Pangkham	22.672097	97.161167	34_ear	j̊ o k	j̊ok			
533	l ɛː - + j̊ o - - k	387 386	None	ear	1247	ManLoi	lɛːj̊ok	None	Man Loi	22.636019	97.139264	34_ear	l ɛː + j̊ o k	lɛːj̊ok			
534	j̊ o - - k	386	None	ear	1247	MengDan	j̊ok	khan1274	Meng Dan	24.296522	98.379886	34_ear	j̊ o k	j̊ok			
535	j̊ o - - ʔ	386	None	ear	1247	ChuDongGua	j̊o?	None	Chu Dong Gua	24.330889	98.393125	34_ear	j̊ o ʔ	j̊o?			
536	j̊ au̯ - - ʔ	386	None	ear	1247	XiangZhaiTang	j̊auɁ	ruma1248	Xiang Zhai Tang	24.323819	98.556639	34_ear	j̊ au̯ ʔ	j̊auɁ			
537	j a j̊ au̯ ʔ	386	None	ear	1247	PongNuea	jaj̊auɁ	None	Pong Nuea	20.321525	99.866817	34_ear	j a j̊ au̯ ʔ	jaj̊auɁ			
538	j̊ ou̯ - - ʔ	386	None	ear	1247	NyaungGone	j̊ouʔ	None	Nyaung Gone	20.635025	96.545772	34_ear	j̊ ou̯ ʔ	j̊ouʔ			
539	ʔ a + j̊ ou̯ - - ʔ	385 386	None	ear	1247	NoeLae	Ɂaj̊ouʔ	None	Noe Lae	19.941803	99.044742	34_ear	ʔ a + j̊ ou̯ ʔ	Ɂaj̊ouʔ			
540	ʔ a + j̊ ou̯ - - ʔ	2042 386	None	ear	1247	BanPaw	Ɂaj̊ouɁ	None	Ban Paw	21.311225	99.557550	34_ear	ʔ a + j̊ ou̯ ʔ	Ɂaj̊ouɁ			two ?
541	tɕʰ o - - k	386	None	ear	1247	ChaYeQing	ʨhok	None	Cha Ye Qing	24.305717	98.463661	34_ear	tɕʰ o k	ʨhok			
542	tɕʰ o - - k	386	None	ear	1247	GuangKa	ʨhok	ruma1248	Guang Ka	24.065714	97.796281	34_ear	tɕʰ o k	ʨhok			
543	l a - + tɕʰ o - - k	387 386	None	ear	1247	MangBang	laʨhok	ruma1248	Mang Bang	24.416392	98.399078	34_ear	l a + tɕʰ o k	laʨhok			
544	tɕʰ o - - k	386	None	ear	1247	NanSang	ʨhok	ruma1248	Nan Sang	24.019728	97.819736	34_ear	tɕʰ o k	ʨhok			
545	m - oː ʔ	1201	None	mouth	674	NamHsan	moːɁ	None	Namhsan	22.965064	97.163239	35_mouth	m oː ʔ	moːɁ			
546	m - u r̥	1201	None	mouth	674	KhunHawt	mur̥	None	Khun Hawt	22.965064	97.163239	35_mouth	m u r̥	mur̥			mouth
547	m - u r̥	1201	None	mouth	674	HtanHsan	mur̥	None	Htan Hsan	22.675133	97.289942	35_mouth	m u r̥	mur̥			
548	m u/w a ʔ	1201	None	mouth	674	PangKham	muaɁ	None	Pangkham	22.672097	97.161167	35_mouth	m u/w a ʔ	muaɁ			
549	m u/w a ʔ	1201	None	mouth	674	ManLoi	muaɁ	None	Man Loi	22.636019	97.139264	35_mouth	m u/w a ʔ	muaɁ			
550	m - oi̯ ʔ	1201	None	mouth	674	MengDan	mojɁ	khan1274	Meng Dan	24.296522	98.379886	35_mouth	m oi̯ ʔ	mojɁ			
551	m - oi̯ ʔ	1201	None	mouth	674	ChuDongGua	mojɁ	None	Chu Dong Gua	24.330889	98.393125	35_mouth	m oi̯ ʔ	mojɁ			
552	m - oi̯ ʔ	1201	None	mouth	674	XiangZhaiTang	mojɁ	ruma1248	Xiang Zhai Tang	24.323819	98.556639	35_mouth	m oi̯ ʔ	mojɁ			
553	m - oː c	1201	None	mouth	674	PongNuea	moːc	None	Pong Nuea	20.321525	99.866817	35_mouth	m oː c	moːc			
554	m - o c	1201	None	mouth	674	NyaungGone	moc	None	Nyaung Gone	20.635025	96.545772	35_mouth	m o c	moc			
555	m - o c	1201	None	mouth	674	NoeLae	moc	None	Noe Lae	19.941803	99.044742	35_mouth	m o c	moc			
556	m - o t	1201	None	mouth	674	BanPaw	mot	None	Ban Paw	21.311225	99.557550	35_mouth	m o t	mot			
557	m - oi̯ ʔ	1201	None	mouth	674	ChaYeQing	mojʔ	None	Cha Ye Qing	24.305717	98.463661	35_mouth	m oi̯ ʔ	mojʔ			
558	m - oi̯ ʔ	1201	None	mouth	674	GuangKa	mojʔ	ruma1248	Guang Ka	24.065714	97.796281	35_mouth	m oi̯ ʔ	mojʔ			
559	m - oi̯ ʔ	1201	None	mouth	674	MangBang	mojʔ	ruma1248	Mang Bang	24.416392	98.399078	35_mouth	m oi̯ ʔ	mojʔ			
560	m - oi̯ ʔ	1201	None	mouth	674	NanSang	mojɁ	ruma1248	Nan Sang	24.019728	97.819736	35_mouth	m oi̯ ʔ	mojɁ			
561	k ə r + ɗ a ʔ	1969 1968	None	tongue	1205	NamHsan	kәrɗaɁ	None	Namhsan	22.965064	97.163239	36_tongue	k ə r + ɗ a ʔ	kәrɗaɁ			
562	k ə r + ɗ a ʔ	1969 1968	None	tongue	1205	KhunHawt	kәrɗaɁ	None	Khun Hawt	22.965064	97.163239	36_tongue	k ə r + ɗ a ʔ	kәrɗaɁ			
563	k ə r + ɗ a ʔ	1969 1968	None	tongue	1205	HtanHsan	kәrɗaɁ	None	Htan Hsan	22.675133	97.289942	36_tongue	k ə r + ɗ a ʔ	kәrɗaɁ			
564	k a - + ɗ a ʔ	1969 1968	None	tongue	1205	PangKham	kaɗaɁ	None	Pangkham	22.672097	97.161167	36_tongue	k a + ɗ a ʔ	kaɗaɁ			
565	k a - + ɗ a ʔ	1969 1968	None	tongue	1205	ManLoi	kaɗaɁ	None	Man Loi	22.636019	97.139264	36_tongue	k a + ɗ a ʔ	kaɗaɁ			
566	k ə - + d ɛ ʔ	1969 1968	None	tongue	1205	MengDan	kədɛʔ	khan1274	Meng Dan	24.296522	98.379886	36_tongue	k ə + d ɛ ʔ	kədɛʔ			
567	k a - + ɗ a ʔ	1062 1968	None	tongue	1205	ChuDongGua	kaɗaʔ	None	Chu Dong Gua	24.330889	98.393125	36_tongue	k a + ɗ a ʔ	kaɗaʔ			_-:suffix/ka ?
568	s ɨ + d a ʔ	1967 1968	None	tongue	1205	XiangZhaiTang	sɨdaʔ	ruma1248	Xiang Zhai Tang	24.323819	98.556639	36_tongue	s ɨ + d a ʔ	sɨdaʔ			
569	s a + d a ʔ	1967 1968	None	tongue	1205	PongNuea	sadaɁ	None	Pong Nuea	20.321525	99.866817	36_tongue	s a + d a ʔ	sadaɁ			
570	s a + d ă ʔ	1967 1968	None	tongue	1205	NyaungGone	sadăʔ	None	Nyaung Gone	20.635025	96.545772	36_tongue	s a + d ă ʔ	sadăʔ			
